Site Name,Location,Cultural Importance,Type,Conservation Status,Sensitive Periods,Max Visitor Capacity,UNESCO Status,Local Significance Tags,District,Conservation Alert Level,Sustainability Flag,Redirect Recommendation,Overcrowding Risk,Recommended Time,Weather_Condition,AQI_Level,Target_Audience
Jaya Sri Maha Bodhi,"Anuradhapura District, North Central Province",High,Religious,Well-maintained,"Vesak, Poson, Esala",10000,No,"Temple, Ritual, Pilgrimage",Anuradhapura,Low,No,No,Low,Avoid Peak Holidays,Sunny,Moderate,Pilgrims & Culture Seekers
Polonnaruwa Ancient City,"Polonnaruwa District, North Central Province",High,Historical,Well-maintained,"Poson, Vesak",8000,Yes,"Ruins, Monastery, Palace, Temple",Polonnaruwa,High,Yes,Yes,High,Avoid Peak Holidays,Sunny,Poor,Pilgrims & Culture Seekers
Buduruwagala,"Monaragala District, Uva Province",High,Religious,Well-maintained,Poson,2000,No,"Rock Carving, Temple, Mahayana",Monaragala,Moderate,No,Yes,Medium,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Agrabodhi Raja Maha Vihara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,Yes,Yes,Low,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Devinuwara Raja Maha Vihara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,No,Yes,High,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Shrine of Our Lady of Matara,"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Moderate,No,Yes,High,Avoid Peak Holidays,Clear,Moderate,History & Heritage Enthusiasts
Dutch Reformed Church (Matara Fort),"Matara District, Southern Province",Medium,Historical,Well-maintained,None,Not Specified,No,Not Specified,Matara,Low,Yes,Yes,Low,Weekdays only,Sunny,Good,History & Heritage Enthusiasts
Sithulpawwa Rajamaha Viharaya,Hambantota,High,Religious,Well-maintained,Esala,500,No,"Temple, Cave, Ritual",Hambantota,High,No,Yes,Medium,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Mulkirigala Raja Maha Vihara,Hambantota,High,Religious,Well-maintained,Esala,400,No,"Temple, Cave, Shrine",Hambantota,Low,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Yatala Vehera,Hambantota,High,Religious,Well-maintained,Poson,300,No,"Stupa, Ritual",Hambantota,High,No,Yes,Medium,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Naigala Raja Maha Vihara,Hambantota,Medium,Religious,Well-maintained,Esala,250,No,"Temple, Ruins",Hambantota,High,No,Yes,Medium,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Athubodaya Purana Vihara,Hambantota,Medium,Religious,Well-maintained,None,150,No,Image House,Hambantota,Low,Yes,Yes,Medium,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Attanayala Sri Vihara,Hambantota,Low,Religious,Well-maintained,None,100,No,"Temple, Dagoba",Hambantota,Moderate,Yes,Yes,High,Weekdays only,Clear,Poor,Pilgrims & Culture Seekers
Badagiriya Raja Maha Vihara,Hambantota,Medium,Religious,At-risk,None,120,No,Dagoba,Hambantota,High,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Beragama Punyawardhanarama Vihara,Hambantota,Medium,Religious,Well-maintained,None,200,No,Temple,Hambantota,Low,No,No,Medium,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Debarawewa Menik Raja Maha Vihara & Debarawewa Pashchimarama Vihara,Hambantota,Medium,Religious,At-risk,None,250,No,"Ruins, Dagoba",Hambantota,High,No,Yes,Medium,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
Galkote Raja Maha Vihara,Hambantota,Medium,Religious,Well-maintained,None,180,No,"Temple, Image House",Hambantota,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Hellala Dakshina Purana Vihara,Hambantota,Low,Religious,Well-maintained,None,100,No,"Dagoba, Wall",Hambantota,High,Yes,Yes,Medium,"May–July, Weekdays",Clear,Good,Pilgrims & Culture Seekers
Kahadagala Sri Dhammadhinna Vihara,Hambantota,Medium,Religious,At-risk,None,150,No,"Dagoba, Inscriptions",Hambantota,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Karabagala Aranya Senasana,Hambantota,High,Religious,At-risk,None,80,No,"Cave, Temple",Hambantota,Moderate,No,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Karuwalagala Purana Vihara,Hambantota,Low,Religious,At-risk,None,70,No,"Cave, Dagoba",Hambantota,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Kasagala Raja Maha Vihara / Kasagala Vihara,Hambantota,High,Religious,Well-maintained,Esala,300,No,"Temple, Residence",Hambantota,High,No,Yes,High,Anytime,Clear,Moderate,Pilgrims & Culture Seekers
Ramba Raja Maha Vihara,Hambantota,High,Religious,Well-maintained,None,280,No,Stupa,Hambantota,Moderate,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Rankothmaluwa Vihara,Hambantota,Low,Religious,Well-maintained,None,100,No,Temple,Hambantota,Low,No,Yes,High,"May–July, Weekdays",Cloudy,Moderate,Pilgrims & Culture Seekers
Rekawa Jaya Maha Vihara,Hambantota,Low,Religious,Well-maintained,None,90,No,Dagoba,Hambantota,Low,No,No,Low,Anytime,Cloudy,Good,Pilgrims & Culture Seekers
Sri Bodhimalu Purana Raja Maha Vihara,Hambantota,Medium,Religious,Well-maintained,None,150,No,Image House,Hambantota,High,Yes,Yes,High,Avoid Peak Holidays,Clear,Poor,Pilgrims & Culture Seekers
Sri Sudarshanarama Vihara (Henakaduwa),Hambantota,Low,Religious,Well-maintained,None,100,No,Dagoba,Hambantota,Low,No,No,Low,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Sri Sunandarama Vihara (Beliatta),Hambantota,Medium,Religious,Well-maintained,None,150,No,"Temple, Dhamma Hall",Hambantota,High,Yes,Yes,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Sooriyapokuna Raja Maha Vihara,Hambantota,Low,Religious,At-risk,None,70,No,Pillars,Hambantota,High,Yes,Yes,Medium,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Awasakanda Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,50,No,Ruins,Hambantota,High,Yes,Yes,Low,Anytime,Sunny,Good,History & Heritage Enthusiasts
Kolaberiya Elagawa Watta Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,50,No,Stone Pillars,Hambantota,Low,Yes,Yes,High,Avoid Peak Holidays,Light Rain,Moderate,History & Heritage Enthusiasts
Nedigamwila Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,50,No,"Stupa, Structures",Hambantota,High,No,Yes,Low,Anytime,Sunny,Moderate,History & Heritage Enthusiasts
Thihava Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,60,No,Stupa,Hambantota,High,Yes,Yes,High,Anytime,Cloudy,Moderate,History & Heritage Enthusiasts
Udarota-Pallerota Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,60,No,Structures,Hambantota,Low,No,No,Low,Anytime,Cloudy,Good,History & Heritage Enthusiasts
Veheragala Archaeological Site,Hambantota,Medium,Historical,At-risk,None,70,No,"Stupa, Inscriptions",Hambantota,Low,Yes,Yes,High,Anytime,Cloudy,Poor,History & Heritage Enthusiasts
Weharakotuwa Archaeological Ruins,Hambantota,Low,Historical,At-risk,None,60,No,"Dagoba, Wall",Hambantota,Low,Yes,Yes,High,"May–July, Weekdays",Sunny,Poor,History & Heritage Enthusiasts
Hambantota Lighthouse,Hambantota,Medium,Historical,Well-maintained,None,150,No,Lighthouse,Hambantota,Moderate,Yes,Yes,Low,Anytime,Light Rain,Good,History & Heritage Enthusiasts
Martello Tower (Hambantota),Hambantota,High,Historical,Well-maintained,None,200,No,Fortification,Hambantota,High,Yes,Yes,Medium,Weekdays only,Sunny,Good,History & Heritage Enthusiasts
Hambantota Gallows & Prison Wall,Hambantota,Medium,Historical,Well-maintained,None,150,No,"Prison, Wall",Hambantota,Low,No,Yes,High,"May–July, Weekdays",Light Rain,Poor,History & Heritage Enthusiasts
Katuwana Fort & Katuwana Sri Vihara,Hambantota,High,Historical,Well-maintained,None,200,No,"Fort, Temple",Hambantota,High,Yes,Yes,High,Weekdays only,Sunny,Poor,Pilgrims & Culture Seekers
Galle Fort Area,Galle,High,Historical,Well-maintained,Esala,5000,Yes,"Fort, Colonial, Religious, Ritual",Galle,High,No,Yes,Low,"May–July, Weekdays",Cloudy,Moderate,History & Heritage Enthusiasts
Galle Fort Walls & Bastions,Galle,High,Historical,Well-maintained,Esala,3000,Yes,"Fort, Ramparts",Galle,Low,Yes,Yes,Medium,"May–July, Weekdays",Cloudy,Moderate,History & Heritage Enthusiasts
Galle Lighthouse,Galle,High,Historical,Well-maintained,None,500,No,"Lighthouse, Colonial",Galle,Moderate,No,No,Low,"May–July, Weekdays",Clear,Good,History & Heritage Enthusiasts
Dutch Reformed Church (Groote Kerk),Galle,High,Religious,Well-maintained,"Christmas, Easter",400,No,"Church, Colonial",Galle,High,No,Yes,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Galle Fort Clock Tower,Galle,Medium,Historical,Well-maintained,None,300,No,"Clock Tower, Landmark",Galle,Moderate,No,No,Medium,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Old Dutch Hospital,Galle,Medium,Historical,Well-maintained,None,1000,No,"Colonial, Hospital",Galle,Low,No,Yes,Low,"May–July, Weekdays",Clear,Good,History & Heritage Enthusiasts
National Maritime Museum,Galle,Medium,Historical,Well-maintained,None,300,No,"Museum, Maritime",Galle,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Cloudy,Good,History & Heritage Enthusiasts
Galle National Museum,Galle,Medium,Historical,Well-maintained,None,300,No,"Museum, Colonial",Galle,Low,No,Yes,High,Anytime,Sunny,Poor,History & Heritage Enthusiasts
Meeran Jumma Mosque,Galle,Medium,Religious,Well-maintained,Ramadan,400,No,Mosque,Galle,Low,Yes,Yes,Medium,"May–July, Weekdays",Clear,Good,Pilgrims & Culture Seekers
Sudharmalaya Temple,Galle,Medium,Religious,Well-maintained,Esala,300,No,Temple,Galle,Low,No,No,Low,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Galwadugoda Purana Vihara,Galle,Medium,Religious,Well-maintained,Vesak,300,No,Temple,Galle,Low,No,No,Low,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
Ganegoda Raja Maha Vihara,Galle,Medium,Religious,Well-maintained,Poson,300,No,Temple,Galle,Moderate,Yes,Yes,High,Weekdays only,Cloudy,Poor,Pilgrims & Culture Seekers
Ganegodella Purana Vihara,Galle,Medium,Religious,At-risk,Vesak,200,No,Temple,Galle,Low,Yes,Yes,High,"May–July, Weekdays",Light Rain,Poor,Pilgrims & Culture Seekers
Ihalagoda Siri Vijeyarama Vihara,Galle,Medium,Religious,Well-maintained,Esala,200,No,Temple,Galle,Low,Yes,Yes,High,Avoid Peak Holidays,Cloudy,Poor,Pilgrims & Culture Seekers
Jananandanarama Vihara,Galle,Medium,Religious,Well-maintained,Vesak,200,No,Temple,Galle,High,No,Yes,High,"Jan–Mar, 6–8 AM",Clear,Poor,Pilgrims & Culture Seekers
Jayasingharama Purana Vihara,Galle,Medium,Religious,Well-maintained,Vesak,200,No,Temple,Galle,Low,No,No,Low,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Kshetrarama Purana Vihara,Galle,Medium,Religious,Well-maintained,Poson,200,No,Temple,Galle,Low,Yes,Yes,High,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Kumarakanda Purana Vihara,Galle,Medium,Religious,Well-maintained,Esala,200,No,Temple,Galle,High,Yes,Yes,Low,Anytime,Clear,Good,Pilgrims & Culture Seekers
Mabotunna Vihara,Galle,Medium,Religious,At-risk,Vesak,150,No,Temple,Galle,Moderate,No,No,Low,Anytime,Cloudy,Moderate,Pilgrims & Culture Seekers
Mahagoda Tapodhanarama Vihara,Galle,Medium,Religious,Well-maintained,Poson,200,No,Temple,Galle,Moderate,Yes,Yes,Low,Anytime,Sunny,Good,Pilgrims & Culture Seekers
Medakeembiya Sri Kshetrarama Vihara,Galle,Medium,Religious,Well-maintained,Vesak,250,No,Temple,Galle,Moderate,Yes,Yes,High,"May–July, Weekdays",Clear,Poor,Pilgrims & Culture Seekers
Panangala Gangarama Vihara,Galle,Medium,Religious,Well-maintained,Esala,200,No,Temple,Galle,High,No,Yes,High,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Randhombe Sangaraja Vihara,Galle,Medium,Religious,At-risk,Vesak,200,No,Temple,Galle,Low,Yes,Yes,Medium,Weekdays only,Clear,Moderate,Pilgrims & Culture Seekers
Sunandarama Maha Vihara,Galle,Medium,Religious,Well-maintained,Vesak,300,No,Temple,Galle,High,No,Yes,Medium,Weekdays only,Light Rain,Good,Pilgrims & Culture Seekers
Sunandarama Purana Vihara,Galle,Medium,Religious,Well-maintained,Vesak,200,No,Temple,Galle,Low,Yes,Yes,High,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
Sri Sumanarama Vihara,Galle,Medium,Religious,At-risk,Poson,150,No,Temple,Galle,Low,No,No,Medium,Anytime,Cloudy,Moderate,Pilgrims & Culture Seekers
Alagoda Walawwa,Galle,Medium,Historical,Well-maintained,None,100,No,"Walawwa, Colonial",Galle,Moderate,Yes,Yes,High,"May–July, Weekdays",Clear,Moderate,History & Heritage Enthusiasts
Galle Prison & Ramparts,Galle,Medium,Historical,At-risk,None,150,No,"Prison, Ramparts",Galle,Low,Yes,Yes,Low,"May–July, Weekdays",Cloudy,Good,History & Heritage Enthusiasts
Meepe Ambalama,Galle,Low,Historical,Well-maintained,None,50,No,Ambalama,Galle,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Tankiyawaththa Stone Pond,Galle,Low,Historical,Well-maintained,None,30,No,Pond,Galle,Moderate,No,No,Low,Avoid Peak Holidays,Clear,Good,History & Heritage Enthusiasts
"Assessment No. 106, Kaluwella",Galle,Low,Historical,Well-maintained,None,20,No,Colonial Building,Galle,High,Yes,Yes,Low,Weekdays only,Sunny,Moderate,History & Heritage Enthusiasts
Udugalpitiya Devol Devalaya,Galle,Low,Religious,At-risk,Esala,100,No,Devalaya,Galle,Low,No,Yes,High,Anytime,Cloudy,Poor,Pilgrims & Culture Seekers
St. Mary's Cathedral,Galle,Medium,Religious,Well-maintained,"Christmas, Easter",400,No,Cathedral,Galle,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Light Rain,Moderate,Pilgrims & Culture Seekers
Colonial Urban Fabric of Galle,Galle,High,Historical,Well-maintained,None,3000,Yes,"Colonial Streets, Urban Heritage",Galle,Low,Yes,Yes,Medium,Weekdays only,Cloudy,Good,History & Heritage Enthusiasts
Daladawaththa Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,High,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Devamittarama Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,No,Low,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Dhammikarama Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,Low,Weekdays only,Cloudy,Good,Pilgrims & Culture Seekers
Gallen Raja Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,No,Medium,Anytime,Clear,Moderate,Pilgrims & Culture Seekers
Ganegodella Purana Raja Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Low,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Ganewatta Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,Yes,High,Avoid Peak Holidays,Light Rain,Poor,Pilgrims & Culture Seekers
Horana Raja Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,High,No,Yes,Medium,"Jan–Mar, 6–8 AM",Light Rain,Good,Pilgrims & Culture Seekers
Keselhenawa Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,Medium,"May–July, Weekdays",Clear,Good,Pilgrims & Culture Seekers
Pokunuwita Raja Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,High,Anytime,Cloudy,Poor,Pilgrims & Culture Seekers
Purana Kande Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Medium,Anytime,Clear,Moderate,Pilgrims & Culture Seekers
Prathiraja Piriven Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,Yes,High,Weekdays only,Clear,Moderate,Pilgrims & Culture Seekers
Pulinatalarama Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,No,Low,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Rambukkana Raja Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,No,No,Low,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Sapugoda Sri Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,Yes,High,Weekdays only,Light Rain,Poor,Pilgrims & Culture Seekers
Sri Damma Rakkhitharama Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,Medium,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Sri Dharmaguptha Pirivena,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Low,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Subuthi Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,No,Low,"May–July, Weekdays",Clear,Good,Pilgrims & Culture Seekers
Sumanarama Maha Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Medium,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
Sunandarama Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,High,"May–July, Weekdays",Sunny,Poor,Pilgrims & Culture Seekers
Uggalboda Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Veherakanda Purana Vihara,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Low,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Beruwala Lighthouse,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,No,Yes,High,Anytime,Clear,Moderate,Pilgrims & Culture Seekers
Gangatilake Devalaya,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Ketchchimalai Mosque,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Low,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Pathaha Watta Ruins,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,Yes,High,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Payagala Police Station (historic building),Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Moderate,No,No,Medium,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Official residence of a High Court Judge,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,No,No,Medium,Weekdays only,Light Rain,Moderate,Pilgrims & Culture Seekers
Kalutara Bodhiya & Kalutara Chaitya (Stupa),Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,High,Yes,Yes,High,Weekdays only,Light Rain,Poor,Pilgrims & Culture Seekers
Asokaramaya Buddhist Temple,Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,High,Anytime,Cloudy,Poor,Pilgrims & Culture Seekers
"Holy Cross Church, Kalutara",Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,Low,Yes,Yes,Low,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
St. Mary’s Church (Kalamulla),Kalutara District,Medium,Religious,Well-maintained,"Vesak, Poson",100-500,No,"Temple, Mosque, Church, Heritage, Garden",Kalutara,High,No,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
