Site Name,Location,Cultural Importance,Type,Conservation Status,Sensitive Periods,Max Visitor Capacity,UNESCO Status,Local Significance Tags,District,Conservation Alert Level,Sustainability Flag,Redirect Recommendation,Overcrowding Risk,Recommended Time,Weather_Condition,AQI_Level,Target_Audience
Abhayathilakarathnaramaya (Kuruwita Purana Vihara),"Kuruwita, Ratnapura",Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Ratnapura,High,No,Yes,High,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Aramanapola Raja Maha Vihara,"Ganegama, Ratnapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Ruins",Ratnapura,High,Yes,Yes,High,"May–July, Weekdays",Clear,Poor,Pilgrims & Culture Seekers
Delgamuwa Raja Maha Vihara,Ratnapura,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Relic",Ratnapura,High,Yes,Yes,High,Anytime,Light Rain,Poor,Pilgrims & Culture Seekers
Batatotalena Cave,"Kuruwita, Ratnapura",Medium,Historical,At-risk,None,Not Specified,No,"Cave, Archaeology",Ratnapura,Low,Yes,Yes,Medium,"May–July, Weekdays",Sunny,Good,History & Heritage Enthusiasts
Beligallena Cave,Ratnapura,Medium,Historical,At-risk,None,Not Specified,No,"Cave, Prehistoric",Ratnapura,Moderate,No,No,Medium,Weekdays only,Light Rain,Good,History & Heritage Enthusiasts
"Bisokotuwa lake, Galpaya",Ratnapura,Medium,Historical,Under renovation,None,Not Specified,No,"Irrigation, Ruins",Ratnapura,Low,No,No,Medium,Weekdays only,Cloudy,Good,History & Heritage Enthusiasts
Ratnapura Dutch Fort,Ratnapura,High,Historical,At-risk,None,Not Specified,No,"Fort, Colonial",Ratnapura,Low,No,No,Low,Avoid Peak Holidays,Light Rain,Good,History & Heritage Enthusiasts
Site of Ratnapura Portuguese Fort,Ratnapura,Medium,Historical,Ruins,None,Not Specified,No,"Fort, Colonial",Ratnapura,High,No,Yes,High,Avoid Peak Holidays,Cloudy,Poor,History & Heritage Enthusiasts
Sri Sankapala Raja Maha Viharaya,Ratnapura,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Rock",Ratnapura,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Light Rain,Moderate,Pilgrims & Culture Seekers
National Museum Ratnapura,Ratnapura,High,Historical,Well-maintained,None,Not Specified,No,Museum,Ratnapura,High,No,Yes,Low,Weekdays only,Light Rain,Good,History & Heritage Enthusiasts
Karandulen Vihara,"Nilmalgoda, Kegalle",Medium,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,High,Yes,Yes,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Kariyagama Raja Maha Vihara,"Aranayaka, Kegalle",Medium,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,Low,Yes,Yes,Medium,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Kawudugama Vihara,Kegalle,Medium,Religious,At-risk,None,Not Specified,No,Temple,Kegalle,Moderate,Yes,Yes,High,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Keerahena Gallen Vihara,"Deraniyagala, Kegalle",Medium,Religious,Under renovation,None,Not Specified,No,"Cave, Temple",Kegalle,Low,No,Yes,Medium,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Keerahena Purana Vihara,"Warakapola, Kegalle",Medium,Religious,At-risk,None,Not Specified,No,"Cave, Temple",Kegalle,Moderate,No,Yes,Medium,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Keerthi Sri Rajasingha Raja Maha Vihara,"Rambukkana & Galigamuwa, Kegalle",High,Religious,Well-maintained,Esala,Not Specified,No,Temple,Kegalle,Low,No,No,Low,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Kehelwathugoda Galliyadda ruins,Kegalle,Low,Historical,At-risk,None,Not Specified,No,Ruins,Kegalle,Low,No,Yes,High,"May–July, Weekdays",Cloudy,Moderate,History & Heritage Enthusiasts
Keraminiya Raja Maha Vihara,"Mawanella, Kegalle",Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Kegalle,Low,No,No,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Kondagale Vihara,Kegalle,Medium,Religious,At-risk,None,Not Specified,No,Temple,Kegalle,Low,Yes,Yes,Medium,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Kuragala Gallen Raja Maha Vihara,"Aranayaka, Kegalle",High,Religious,Well-maintained,None,Not Specified,No,"Cave, Temple",Kegalle,Low,No,No,Medium,"May–July, Weekdays",Light Rain,Good,Pilgrims & Culture Seekers
Legam Kotasa ruins,Kegalle,Low,Historical,At-risk,None,Not Specified,No,"Cave, Ruins",Kegalle,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Clear,Good,History & Heritage Enthusiasts
Ruwanwella Fort,"Ruwanwella, Kegalle",High,Historical,Well-maintained,None,Not Specified,No,Fortress,Kegalle,Low,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Dorawaka Rock Caves & Uragala Caves,"Warakapola, Kegalle",High,Natural,At-risk,None,Not Specified,No,Cave,Kegalle,Moderate,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,History & Heritage Enthusiasts
Alu Lena Caves,"Attanagoda, Kegalle",High,Natural,Under renovation,None,Not Specified,No,Cave,Kegalle,Low,No,No,Low,"Jan–Mar, 6–8 AM",Clear,Good,History & Heritage Enthusiasts
Ambulugala Sri Danthapaya Rajamaha Viharaya,Kegalle,Medium,Religious,Well-maintained,None,Not Specified,No,Temple,Kegalle,High,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Muthiyangana Raja Maha Vihara,Badulla,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Image House",Badulla,High,No,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Poor,Pilgrims & Culture Seekers
Mahiyangana Raja Maha Vihara,Badulla,High,Religious,Well-maintained,Esala,Not Specified,No,"Solosmasthana, Temple",Badulla,High,Yes,Yes,Low,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Dhowa Rock Temple (Kumbatissa Ariyagala Vehera),"Bandarawela, Badulla",High,Religious,At-risk,None,Not Specified,No,"Cave Temple, Buddha Statue",Badulla,High,No,Yes,Low,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Bogoda Wooden Bridge & Bogoda Raja Maha Vihara,Badulla,High,Historical,Well-maintained,None,Not Specified,No,"Wooden Bridge, Temple, Murals",Badulla,High,No,Yes,Medium,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
"St. Mark’s Church, Badulla",Badulla,Medium,Religious,Well-maintained,None,Not Specified,No,"Church, Colonial",Badulla,Low,Yes,Yes,Low,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Dematamal Viharaya,"Okkampitiya, Monaragala",High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Ruins, Ritual",Badulla,High,No,Yes,Low,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Buddama Raja Maha Vihara,"Buddama, Monaragala",High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Cave, Murals",Badulla,High,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,Pilgrims & Culture Seekers
Kanabiso Pokuna Raja Maha Vihara,"Handapanagala, Monaragala",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Ruins",Badulla,High,No,Yes,High,Weekdays only,Light Rain,Poor,Pilgrims & Culture Seekers
Keheliya Raja Maha Vihara,"Handapanagala, Monaragala",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Archaeological Site",Badulla,Low,Yes,Yes,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Maligawila,Monaragala,High,Religious,Well-maintained,None,Not Specified,No,"Ruins, Image House",Monaragala,Low,Yes,Yes,High,Weekdays only,Cloudy,Poor,Pilgrims & Culture Seekers
Buduruwagala,Monaragala,High,Religious,Well-maintained,None,Not Specified,No,"Rock Carvings, Temple",Monaragala,High,No,Yes,High,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
Yudaganawa Vihara,Monaragala,High,Religious,Well-maintained,Esala,Not Specified,No,"Stupa, Ritual",Monaragala,High,No,Yes,Medium,Weekdays only,Cloudy,Good,Pilgrims & Culture Seekers
Kataragama Kiri Vehera,Monaragala,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Stupa",Monaragala,Low,No,No,Medium,Avoid Peak Holidays,Clear,Good,Pilgrims & Culture Seekers
Galabedda Archaeological Site,Monaragala,Medium,Archaeological,At-risk,None,Not Specified,No,"Prehistoric, Ruins",Monaragala,Moderate,No,No,Medium,"Jan–Mar, 6–8 AM",Cloudy,Moderate,History & Heritage Enthusiasts
Mayuragiriya Purana Vihara,Monaragala,Medium,Religious,Under renovation,None,Not Specified,No,"Temple, Cave, Inscriptions",Monaragala,Low,No,No,Medium,"Jan–Mar, 6–8 AM",Light Rain,Moderate,Pilgrims & Culture Seekers
Aloka Raja Maha Vihara,Ampara,Medium,Religious,At-risk,"Esala, Vesak",200,No,"Temple, Ruins",Ampara,Low,No,No,Low,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Udayagiri Raja Maha Vihara,Ampara,Medium,Religious,Well-maintained,Poson,150,No,"Temple, Stupa",Ampara,Low,No,No,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Kukul Kotuwa / Kukuluwa Raja Maha Vihara,Ampara,Medium,Religious,Under renovation,Esala,100,No,"Temple, Ruins",Ampara,Moderate,No,No,Medium,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Lahugala Kiri Vehera,Ampara,High,Religious,Well-maintained,"Vesak, Esala",300,No,"Stupa, Temple",Ampara,High,No,Yes,High,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Rajagala Monastery & Archaeological Reserve,Ampara,High,Religious,At-risk,Poson,500,No,"Monastery, Inscriptions, Ruins",Ampara,Moderate,No,Yes,High,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Deegavapi Raja Maha Viharaya,Ampara,High,Religious,Well-maintained,"Poson, Esala",400,No,"Temple, Solosmasthana, Stupa",Ampara,High,No,Yes,Low,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Muhudu Maha Viharaya,Ampara,High,Religious,At-risk,Poya Days,250,No,"Coastal Temple, Ruins",Ampara,Moderate,No,No,Medium,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Buddhangala Monastery,Ampara,Medium,Religious,Under renovation,Poya Days,120,No,"Monastery, Rock Temple",Ampara,Low,Yes,Yes,Low,"May–July, Weekdays",Sunny,Good,Pilgrims & Culture Seekers
Peace Pagoda Temple,Ampara,Medium,Religious,Well-maintained,Esala,200,No,"Modern Stupa, Peace Symbol",Ampara,Moderate,No,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Moderate,Pilgrims & Culture Seekers
Samangala Aranya Senasanaya,Ampara,Medium,Religious,At-risk,Vesak,180,No,"Cave Temple, Forest Hermitage",Ampara,Low,No,No,Medium,"May–July, Weekdays",Clear,Moderate,Pilgrims & Culture Seekers
Seruwila Mangala Raja Maha Viharaya,Trincomalee,High,Religious,Well-maintained,"Poson, Esala",500,No,"Temple, Solosmasthana, Pilgrimage Site",Trincomalee,High,Yes,Yes,High,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Velgam Vehera,Trincomalee,High,Religious,At-risk,Vesak,300,No,"Temple, Stupa, Archaeology",Trincomalee,Moderate,No,No,Medium,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Lankapatuna Samudragiri Viharaya,Trincomalee,High,Religious,Under renovation,Esala,250,No,"Temple, Tooth Relic Route, Coastal Ruins",Trincomalee,Moderate,No,Yes,High,"May–July, Weekdays",Cloudy,Moderate,Pilgrims & Culture Seekers
Girihandu Seya (Girihanduseya),"Thiriyai, Trincomalee",High,Religious,Well-maintained,Poson,400,No,"Stupa, Early Buddhism, Pilgrimage Site",Trincomalee,Low,Yes,Yes,Medium,Weekdays only,Sunny,Good,Pilgrims & Culture Seekers
Fort Frederick (Trincomalee Fort),Trincomalee,High,Historical,Well-maintained,None,350,No,"Fortress, Dutch, Portuguese, Colonial",Trincomalee,Moderate,No,Yes,High,Avoid Peak Holidays,Clear,Moderate,History & Heritage Enthusiasts
Koneswaram Temple (Thirukoneswaram Kovil),Trincomalee,High,Religious,Well-maintained,April Festival,800,No,"Temple, Hindu, Shiva, Cliffside",Trincomalee,Moderate,No,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Jaya Sri Maha Bodhi,Anuradhapura,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Sacred Tree, Pilgrimage",Anuradhapura,Moderate,Yes,Yes,High,Avoid Peak Holidays,Cloudy,Poor,Pilgrims & Culture Seekers
Ruwanwelisaya Stupa,Anuradhapura,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Stupa, Pilgrimage",Anuradhapura,Moderate,Yes,Yes,Medium,Avoid Peak Holidays,Clear,Moderate,Pilgrims & Culture Seekers
Jetavanaramaya Stupa,Anuradhapura,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Stupa, Ruins",Anuradhapura,High,Yes,Yes,Medium,Avoid Peak Holidays,Light Rain,Good,Pilgrims & Culture Seekers
Thuparamaya,Anuradhapura,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Stupa",Anuradhapura,Low,Yes,Yes,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Abhayagiri Monastery Complex,Anuradhapura,High,Religious,At-risk,Esala,Not Specified,No,"Monastery, Ruins",Anuradhapura,Low,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Isurumuniya Rock Temple,Anuradhapura,High,Religious,Well-maintained,Esala,Not Specified,No,"Temple, Rock Carvings",Anuradhapura,Moderate,Yes,Yes,Medium,Anytime,Cloudy,Moderate,Pilgrims & Culture Seekers
Kuttam Pokuna (Twin Ponds),Anuradhapura,High,Historical,Well-maintained,None,Not Specified,No,Bathing Tanks,Anuradhapura,High,No,Yes,High,Anytime,Sunny,Moderate,History & Heritage Enthusiasts
Lovamahapaya (Brazen Palace),Anuradhapura,Medium,Historical,Ruins,None,Not Specified,No,"Palace, Ruins",Anuradhapura,Moderate,No,No,Medium,Anytime,Clear,Good,History & Heritage Enthusiasts
Samadhi Buddha Statue,Anuradhapura,High,Religious,Well-maintained,None,Not Specified,No,"Statue, Sculpture",Anuradhapura,High,No,Yes,High,Weekdays only,Cloudy,Poor,Pilgrims & Culture Seekers
Annasigala Raja Maha Vihara,Anuradhapura,Medium,Religious,At-risk,None,Not Specified,No,"Temple, Ruins",Anuradhapura,Low,No,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,Pilgrims & Culture Seekers
Dematamal Purana Vihara,"Nochchiyagama, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Drip-ledged Caves",Anuradhapura,High,No,Yes,High,Weekdays only,Sunny,Moderate,Pilgrims & Culture Seekers
Galnewa Raja Maha Vihara,"Galnewa, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Cave",Anuradhapura,Moderate,No,No,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Jayasundararama Vihara,"Pahala Talawa, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Pillars",Anuradhapura,Low,No,Yes,High,Anytime,Cloudy,Poor,Pilgrims & Culture Seekers
Kada Hatha Vihara,"Rambewa, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Tampita",Anuradhapura,High,No,Yes,Medium,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Kuda Dambulu Raja Maha Vihara,"Horowpothana, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Caves",Anuradhapura,Moderate,No,No,Low,"May–July, Weekdays",Clear,Moderate,Pilgrims & Culture Seekers
Sri Bhatikatissa Raja Maha Vihara,"Medawachchiya, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Inscriptions",Anuradhapura,Moderate,No,No,Low,"May–July, Weekdays",Cloudy,Good,Pilgrims & Culture Seekers
Sri Dalada Vihara,"Mahakumbukgollewa, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Temple, Tempita",Anuradhapura,Moderate,No,No,Medium,Weekdays only,Clear,Good,Pilgrims & Culture Seekers
Thanthirimale,Anuradhapura,High,Religious,Well-maintained,None,Not Specified,No,"Temple, Stupa",Anuradhapura,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Cloudy,Moderate,Pilgrims & Culture Seekers
Maya Ulpatha Ruins,Anuradhapura,Medium,Historical,At-risk,None,Not Specified,No,"Statue, Inscriptions",Anuradhapura,Low,No,No,Low,Anytime,Light Rain,Moderate,History & Heritage Enthusiasts
Weheragala Ruins / Weheragodella Purana Vihara,"Padaviya, Thalawa, Anuradhapura",Medium,Religious,At-risk,None,Not Specified,No,"Dagoba, Pond",Anuradhapura,Low,Yes,Yes,Medium,"Jan–Mar, 6–8 AM",Cloudy,Moderate,Pilgrims & Culture Seekers
Thonigala Rock Inscription,"Ipalogama, Anuradhapura",Medium,Historical,Well-maintained,None,Not Specified,No,Rock Inscriptions,Anuradhapura,Moderate,Yes,Yes,High,"Jan–Mar, 6–8 AM",Sunny,Moderate,History & Heritage Enthusiasts
"Stone Bridge, Malwathu Oya",Anuradhapura,Medium,Historical,Well-maintained,None,Not Specified,No,"Bridge, Engineering",Anuradhapura,Low,Yes,Yes,Medium,Anytime,Sunny,Good,History & Heritage Enthusiasts
Anuradhapura Archaeological Museum,Anuradhapura,High,Historical,Well-maintained,None,Not Specified,No,Museum,Anuradhapura,Low,Yes,Yes,Low,"May–July, Weekdays",Light Rain,Moderate,History & Heritage Enthusiasts
Folk Museum,Anuradhapura,Medium,Historical,Well-maintained,None,Not Specified,No,"Museum, Culture",Anuradhapura,Low,Yes,Yes,Medium,Anytime,Cloudy,Good,History & Heritage Enthusiasts
Ancient City of Polonnaruwa,Polonnaruwa District,High,Historical,Well-maintained,None,Not Specified,Yes,"City, Palace, Monastery, Temple, Stupa",Polonnaruwa,Moderate,Yes,Yes,High,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Gal Vihara,Polonnaruwa District,High,Religious,Well-maintained,None,Not Specified,Yes,"Temple, Sculpture, Buddha",Polonnaruwa,Low,No,No,Medium,"May–July, Weekdays",Sunny,Moderate,Pilgrims & Culture Seekers
Vatadage (Circular Relic House),Polonnaruwa District,High,Religious,Well-maintained,None,Not Specified,Yes,"Relic House, Temple, Stonework",Polonnaruwa,Moderate,Yes,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Kiri Vehera,Polonnaruwa District,High,Religious,Well-maintained,None,Not Specified,Yes,"Stupa, Temple",Polonnaruwa,Low,Yes,Yes,Low,"Jan–Mar, 6–8 AM",Clear,Good,Pilgrims & Culture Seekers
Pabalu Vehera,Polonnaruwa District,Medium,Religious,Well-maintained,None,Not Specified,Yes,Stupa,Polonnaruwa,Low,No,No,Medium,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Potgul Vehera,Polonnaruwa District,Medium,Religious,At-risk,None,Not Specified,Yes,"Library, Temple, Relic",Polonnaruwa,Low,Yes,Yes,High,Avoid Peak Holidays,Clear,Poor,Pilgrims & Culture Seekers
Royal Palace Group (Parakramabahu’s Palace),Polonnaruwa District,High,Historical,Under renovation,None,Not Specified,Yes,"Palace, Ruins",Polonnaruwa,Low,Yes,Yes,Low,Avoid Peak Holidays,Light Rain,Moderate,History & Heritage Enthusiasts
Nissanka Latha Mandapaya,Polonnaruwa District,Medium,Historical,Well-maintained,None,Not Specified,Yes,"Pavilion, Pillars",Polonnaruwa,High,Yes,Yes,Medium,"May–July, Weekdays",Light Rain,Good,History & Heritage Enthusiasts
Alahana Pirivena,Polonnaruwa District,High,Religious,Well-maintained,None,Not Specified,Yes,"Monastery, University, Temple",Polonnaruwa,Moderate,Yes,Yes,High,Anytime,Sunny,Moderate,Pilgrims & Culture Seekers
Menik Vihara Monastery,Polonnaruwa District,Medium,Religious,Well-maintained,None,Not Specified,Yes,"Monastery, Stupa",Polonnaruwa,Moderate,Yes,Yes,High,Anytime,Sunny,Poor,Pilgrims & Culture Seekers
Ancient Hospital Ruins,Polonnaruwa District,Medium,Historical,At-risk,None,Not Specified,Yes,"Hospital, Ruins",Polonnaruwa,Moderate,Yes,Yes,Low,Avoid Peak Holidays,Sunny,Good,History & Heritage Enthusiasts
Royal Audience Hall,Polonnaruwa District,Medium,Historical,Well-maintained,None,Not Specified,Yes,"Palace, Assembly",Polonnaruwa,Low,No,Yes,High,"May–July, Weekdays",Clear,Poor,History & Heritage Enthusiasts
Polonnaruwa Archaeological Museum,Polonnaruwa District,Medium,Historical,Well-maintained,None,Not Specified,No,"Museum, Artefacts",Polonnaruwa,Low,Yes,Yes,High,Weekdays only,Sunny,Poor,History & Heritage Enthusiasts
Sacred Quadrangle,Polonnaruwa District,High,Religious,Well-maintained,None,Not Specified,Yes,"Stupa, Relic House, Temple",Polonnaruwa,High,Yes,Yes,High,"May–July, Weekdays",Cloudy,Moderate,Pilgrims & Culture Seekers
Mannar Fort,Mannar District,High,Historical,Well-maintained,None,Not Specified,No,Fort,Mannar,High,No,Yes,Low,Weekdays only,Clear,Good,History & Heritage Enthusiasts
Doric Bungalow (Silavathurai),Mannar District,Medium,Historical,At-risk,None,Not Specified,No,Colonial,Mannar,High,No,Yes,High,Weekdays only,Light Rain,Poor,History & Heritage Enthusiasts
Mannar Island Old Lighthouse (Urumalai Lighthouse),Mannar District,Medium,Historical,Under renovation,None,Not Specified,No,Lighthouse,Mannar,Moderate,Yes,Yes,Medium,Anytime,Clear,Moderate,History & Heritage Enthusiasts
Talaimannar Pier Ruins,Mannar District,High,Historical,At-risk,None,Not Specified,No,"Pier, Ruins",Mannar,High,No,Yes,Low,"Jan–Mar, 6–8 AM",Sunny,Good,History & Heritage Enthusiasts
Ketheeswaram Temple Image Site,Mannar District,High,Religious,Well-maintained,Annual Hindu Festivals,Not Specified,No,"Hindu, Temple",Mannar,High,No,Yes,High,Weekdays only,Cloudy,Moderate,Pilgrims & Culture Seekers
Irranai Iluppaikulam Sivan Temple,Mannar District,Medium,Religious,Well-maintained,Hindu festivals,Not Specified,No,"Hindu, Temple",Mannar,Low,Yes,Yes,High,Weekdays only,Cloudy,Poor,Pilgrims & Culture Seekers
Mundanputti Doss House,Mannar District,Low,Historical,Under renovation,None,Not Specified,No,Doss House,Mannar,Low,Yes,Yes,High,Weekdays only,Sunny,Moderate,History & Heritage Enthusiasts
"Pillaair Koviltharammadam Doss House, Vidattaltivu",Mannar District,Low,Historical,Under renovation,None,Not Specified,No,Doss House,Mannar,High,Yes,Yes,Low,"May–July, Weekdays",Cloudy,Moderate,History & Heritage Enthusiasts
Murunkan Raja Maha Vihara Ruins & Murunkan Hospital Ruins,Mannar District,Medium,Religious / Historical,At-risk,None,Not Specified,No,"Temple, Ruins",Mannar,Moderate,No,No,Medium,"Jan–Mar, 6–8 AM",Clear,Moderate,Pilgrims & Culture Seekers
Periyapandivirichchan & Sinnapandivirichchan Ruins,Mannar District,Low,Historical,At-risk,None,Not Specified,No,Ruins,Mannar,Low,No,No,Medium,Avoid Peak Holidays,Clear,Moderate,History & Heritage Enthusiasts
Sinnakulam Ruins,Mannar District,Low,Historical,At-risk,None,Not Specified,No,Ruins,Mannar,High,No,Yes,Medium,"Jan–Mar, 6–8 AM",Sunny,Good,History & Heritage Enthusiasts
Mannar Baobab Tree,Mannar District,Medium,Natural / Historical,Well-maintained,None,Not Specified,No,"Tree, Natural, Arab Influence",Mannar,Low,Yes,Yes,High,"May–July, Weekdays",Cloudy,Poor,History & Heritage Enthusiasts
